"","year","munCode","mun","totalPop","totalOldPop","births","deaths","totArea","inhabitable","kindergarten","elementary","lowerSecond","upperSecond","employed","percOldPop","birthrate","deathrate","percInhab","percEmpl","education"
"92",2020,"4216","Miyagi-ken Tomiya-shi",51651,11144,290,305,4918,2769,5,8,5,1,25280,21.5755745290507,5.61460571915355,5.90501635979942,56.3033753558357,48.9438733035178,19
"93",2020,"4301","Miyagi-ken Zao-machi",11418,4367,61,187,15283,6742,3,5,3,1,5737,38.2466281310212,5.34244175862673,16.3776493256262,44.1143754498462,50.2452268348222,12
"94",2020,"4302","Miyagi-ken Shichikashuku-machi",1262,583,3,43,26309,3053,0,1,1,2,613,46.1965134706815,2.37717908082409,34.0729001584786,11.6043939336349,48.5736925515056,4
"95",2020,"4321","Miyagi-ken Ogawara-machi",23571,6520,155,255,2499,1786,1,3,2,2,11052,27.6611089898604,6.57587713716007,10.818378515973,71.468587434974,46.8881252386407,8
"96",2020,"4322","Miyagi-ken Murata-machi",10666,3784,39,158,7838,3675,2,2,2,1,5234,35.4772173260829,3.65647852990812,14.8134258391149,46.8869609594284,49.0718169885618,7
"97",2020,"4323","Miyagi-ken Shibata-machi",38271,11032,214,420,5403,3510,5,6,3,1,18135,28.8260040239346,5.59170128818165,10.9743670141883,64.9639089394781,47.3857490005487,15
"98",2020,"4324","Miyagi-ken Kawasaki-machi",8345,3210,37,120,27077,6321,1,4,2,1,4393,38.4661473936489,4.43379269023367,14.3798681845416,23.3445359530229,52.6423007789095,8
"99",2020,"4341","Miyagi-ken Marumori-machi",12262,5293,41,223,27330,8140,0,9,1,1,5734,43.1658783232752,3.34366335018757,18.1862665144348,29.7841200146359,46.7623552438428,11
"100",2020,"4361","Miyagi-ken Watari-cho",33087,10389,183,364,7360,6164,2,6,4,1,15987,31.3990388974522,5.5308731525977,11.0012996040741,83.75,48.3180705413002,13
"101",2020,"4362","Miyagi-ken Yamamoto-cho",12046,4943,51,184,6458,4282,2,4,2,0,5531,41.0343682550224,4.23377054623942,15.2747800099618,66.3053576958811,45.9156566495102,8
"102",2020,"4401","Miyagi-ken Matsushima-machi",13323,5215,59,222,5356,2596,3,3,1,1,6182,39.1428356976657,4.42843203482699,16.6629137581626,48.4690067214339,46.400960744577,8
"103",2020,"4404","Miyagi-ken Shichigahama-machi",18132,5644,77,220,1319,1118,2,3,2,0,8608,31.1272887712332,4.2466357820428,12.1332450915508,84.7611827141774,47.4740789763953,7
"104",2020,"4406","Miyagi-ken Rifu-cho",35182,8649,228,260,4489,2277,4,6,3,1,16968,24.5835938832357,6.48058666363481,7.3901426866011,50.7239919803965,48.2292081177875,14
"105",2020,"4421","Miyagi-ken Taiwa-cho",28786,6502,236,258,22549,6426,2,6,2,1,14510,22.5873688598624,8.19842979226013,8.96269019662336,28.4979378242938,50.4064475786841,11
"106",2020,"4422","Miyagi-ken Osato-cho",7813,3017,37,130,8201,4519,0,1,1,0,3765,38.6151286317676,4.73569691539741,16.6389351081531,55.1030362150957,48.1889159093818,2
"107",2020,"4424","Miyagi-ken Ohira-mura",5849,1709,41,97,6032,3184,0,1,1,0,2898,29.2186698580954,7.00974525559925,16.584031458369,52.7851458885942,49.5469310993332,2
"108",2020,"4444","Miyagi-ken Shikama-cho",6698,2343,36,98,10928,4658,1,1,1,1,3528,34.9805912212601,5.3747387279785,14.6312332039415,42.6244509516837,52.6724395341893,4
"109",2020,"4445","Miyagi-ken Kami-machi",21943,8137,90,369,46067,13188,2,8,3,1,11911,37.0824408695256,4.10153579729299,16.8162967689012,28.6278681051512,54.2815476461742,14
"110",2020,"4501","Miyagi-ken Wakuya-cho",15388,5796,62,257,8216,5944,4,3,1,1,7735,37.6657135430205,4.0291135950091,16.7013257083442,72.3466407010711,50.2664413828958,9
"111",2020,"4505","Miyagi-ken Misato-machi",23994,8547,100,343,7499,7486,3,6,3,2,11749,35.6214053513378,4.16770859381512,14.2952404767859,99.8266435524737,48.9664082687339,14
"112",2020,"4581","Miyagi-ken Onagawa-cho",6430,2333,33,94,6535,948,0,1,1,0,3330,36.2830482115086,5.13219284603421,14.6189735614308,14.5065034429992,51.7884914463453,2
"113",2020,"4606","Miyagi-ken Minamisanriku-cho",12225,4707,59,193,16340,3745,1,5,2,1,6164,38.5030674846626,4.82617586912065,15.7873210633947,22.9192166462668,50.4212678936605,9
"114",2020,"5201","Akita-ken Akita-shi",307672,95949,1752,3818,90607,29066,17,43,27,14,142787,31.185483241894,5.6943758288047,12.409319015055,32.0791991788714,46.4088379833069,101
"115",2020,"5202","Akita-ken Noshiro-shi",49968,20765,219,822,42695,17405,2,7,6,5,22906,41.5565962215818,4.38280499519693,16.4505283381364,40.7658976460944,45.8413384566122,20
"116",2020,"5203","Akita-ken Yokote-shi",85555,33401,397,1409,69280,31548,4,17,7,6,44009,39.0403833791129,4.64028987201216,16.4689381099877,45.5369515011547,51.4394249313307,34
"117",2020,"5204","Akita-ken Odate-shi",69237,26998,319,1204,91322,19113,1,17,9,3,32905,38.9936016869593,4.60736311509742,17.3895460519664,20.9292393946694,47.5251671793983,30
"118",2020,"5206","Akita-ken Oga-shi",25154,11809,68,554,24109,11569,2,6,4,2,11031,46.9468076647849,2.70334738013835,22.0243301264212,47.9862292090091,43.8538602210384,14
"119",2020,"5207","Akita-ken Yuzawa-shi",42091,16926,164,838,79091,15844,2,11,6,3,21241,40.2128721104274,3.89631987835879,19.9092442564919,20.0326206521602,50.464469839158,22
"120",2020,"5209","Akita-ken Kazuno-shi",29088,11843,119,543,70752,14838,1,7,4,2,14371,40.7143839383938,4.09103410341034,18.6674917491749,20.9718453188602,49.4052530253025,14
"121",2020,"5210","Akita-ken Yurihonjo-shi",74707,27783,364,1196,120959,29726,1,14,10,5,37510,37.189286144538,4.87236805118664,16.0092093110418,24.5752693061285,50.209485054948,30
"122",2020,"5211","Akita-ken Katagami-shi",31720,11218,156,471,9772,6644,2,6,3,1,14622,35.3656998738966,4.91803278688525,14.8486759142497,67.9901760130986,46.0970996216898,12
"123",2020,"5212","Akita-ken Daisen-shi",77657,29871,361,1379,86679,36805,0,21,11,6,39321,38.4653025483858,4.64864725652549,17.7575749771431,42.4612651276549,50.6341991063265,38
"124",2020,"5213","Akita-ken Kitaakita-shi",30198,13438,88,568,115276,18929,0,10,4,1,14124,44.4996357374661,2.91410027154116,18.8091926617657,16.4205905826018,46.7713093582356,15
