YEAR Code,YEAR,AREA Code,AREA,/ITEMS,A1101_Total population (Both sexes)[person],Annotation,A1303_Total population (65 and over)[person],Annotation,A4101_Number of live births[person],Annotation,A4200_Number of deaths[person],Annotation,A5103_Number of in-migrants from other municipalities[person],Annotation,A5104_Number of out-migrants to other municipalities[person],Annotation,B1102_Total land area (Incl. the northern territories and Takeshima)[ha],Annotation,B1103_Inhabitable area[ha],Annotation,"C210710_Number of establishments (Electricity, gas, heat supply and water)[number of establishments]",Annotation,C210712_Number of establishments (Transport and postal activities)[number of establishments],Annotation,C210713_Number of establishments (Wholesale and retail trade)[number of establishments],Annotation,C3109_Area of abandoned cropland[ha],Annotation,D320303_Total welfare expenditure (Municipality)[thousand yen],Annotation,E1101_Number of kindergartens[number of kindergartens],Annotation,E2101_Number of elementary schools[number of schools],Annotation,E3101_Number of lower secondary schools[number of schools],Annotation,E4101_Number of upper secondary schools[number of schools],Annotation,F1102_(Population census) Number of employed persons[person],Annotation,"I1101_Life expectancy (0 years old, Male)[years]",Annotation,"I1102_Life expectancy (0 years old, Female)[years]",Annotation,I5101_Number of hospitals[number of hospitals],Annotation,I5102_Number of general clinics[number of clinics],Annotation,I5103_Number of dental clinics[number of clinics],Annotation,J2301_Number of welfare institutions for the aged (Questionnaire about details)[number of establishments],Annotation,K4201_Number of recognitions of criminal offenses[number of cases],Annotation
2020100000,2020,01333,Hokkaido Shiriuchi-cho,,"4,167",,"1,649",,14,,63,,135,,180,,"19,675",,"3,113",,***,,***,,***,,***,,***,,1,,3,,1,,1,,"2,110",,***,,***,,0,,4,,2,,***,,***,
2020100000,2020,01334,Hokkaido Kikonai-cho,,"3,832",,"1,908",,9,,82,,118,,158,,"22,187",,"2,221",,***,,***,,***,,***,,***,,0,,1,,1,,0,,"1,618",,***,,***,,1,,3,,1,,***,,***,
2020100000,2020,01337,Hokkaido Nanae-cho,,"27,686",,"9,719",,138,,394,,"1,120",,931,,"21,675",,"8,211",,***,,***,,***,,***,,***,,2,,4,,2,,1,,"11,853",,***,,***,,2,,17,,10,,***,,***,
2020100000,2020,01343,Hokkaido Shikabe-cho,,"3,760",,"1,517",,14,,53,,101,,152,,"11,063",,"2,133",,***,,***,,***,,***,,***,,1,,1,,1,,0,,"1,824",,***,,***,,0,,2,,1,,***,,***,
2020100000,2020,01345,Hokkaido Mori-machi,,"14,338",,"5,532",,57,,251,,332,,510,,"36,879",,"9,003",,***,,***,,***,,***,,***,,2,,8,,2,,1,,"7,134",,***,,***,,2,,7,,6,,***,,***,
2020100000,2020,01346,Hokkaido Yakumo-cho,,"15,826",,"5,534",,85,,207,,635,,"1,144",,"95,608",,"17,811",,***,,***,,***,,***,,***,,1,,8,,4,,1,,"8,230",,***,,***,,2,,5,,7,,***,,***,
2020100000,2020,01347,Hokkaido Oshamambe-cho,,"5,109",,"2,088",,23,,93,,173,,265,,"31,076",,"8,222",,***,,***,,***,,***,,***,,1,,2,,1,,1,,"2,662",,***,,***,,1,,2,,3,,***,,***,
2020100000,2020,01361,Hokkaido Esashi-cho,,"7,428",,"2,846",,25,,104,,386,,475,,"10,948",,"2,685",,***,,***,,***,,***,,***,,0,,3,,2,,1,,"3,571",,***,,***,,2,,4,,4,,***,,***,
2020100000,2020,01362,Hokkaido Kaminokuni-cho,,"4,306",,"1,868",,16,,96,,97,,121,,"54,771",,"4,284",,***,,***,,***,,***,,***,,0,,3,,1,,1,,"1,982",,***,,***,,0,,3,,2,,***,,***,
2020100000,2020,01363,Hokkaido Assabu-cho,,"3,592",,"1,540",,16,,66,,122,,163,,"46,058",,"8,924",,***,,***,,***,,***,,***,,0,,3,,1,,0,,"1,889",,***,,***,,1,,1,,1,,***,,***,
2020100000,2020,01364,Hokkaido Otobe-cho,,"3,403",,"1,552",,14,,66,,77,,123,,"16,259",,"2,521",,***,,***,,***,,***,,***,,0,,3,,1,,0,,"1,559",,***,,***,,1,,1,,1,,***,,***,
2020100000,2020,01367,Hokkaido Okushiri-cho,,"2,410",,997,,10,,55,,179,,221,,"14,299",,"1,967",,***,,***,,***,,***,,***,,2,,2,,1,,1,,"1,268",,***,,***,,1,,3,,0,,***,,***,
2020100000,2020,01370,Hokkaido Imakane-cho,,"5,072",,"2,089",,22,,85,,140,,203,,"56,825",,"12,155",,***,,***,,***,,***,,***,,0,,2,,1,,0,,"2,517",,***,,***,,1,,4,,2,,***,,***,
2020100000,2020,01371,Hokkaido Setana-cho,,"7,398",,"3,482",,19,,137,,236,,296,,"63,868",,"13,859",,***,,***,,***,,***,,***,,0,,4,,3,,1,,"3,676",,***,,***,,2,,5,,4,,***,,***,
2020100000,2020,01391,Hokkaido Shimamaki-mura,,"1,356",,564,,9,,23,,31,,44,,"43,718",,"6,960",,***,,***,,***,,***,,***,,0,,1,,1,,0,,659,,***,,***,,0,,1,,0,,***,,***,
